ethnicity,lgr,sex,agegrp,qualification,occupation,hours,income
1,2,2,45,3,2,30,644
1,2,2,65,1,10,0,0
1,10,2,40,3,2,15,2671
3,2,2,15,2,10,0,458
1,2,2,30,4,2,37.5,1019
1,5,2,65,1,7,16,1033
1,10,1,20,2,3,0,0
1,10,1,50,4,1,45,2405
1,10,1,40,3,2,40,576
2,1,2,45,3,4,40,540
4,2,2,60,3,10,0,521
1,8,2,45,4,2,0,207
1,10,2,50,3,3,26,468
4,2,1,15,2,10,0,0
1,2,1,55,2,10,0,333
13,2,1,20,2,7,60,1755
3,11,1,20,1,8,30,757
1,10,1,45,4,10,0,323
1,2,1,50,3,3,0,956
4,2,1,35,5,5,45,891
1,10,1,65,4,10,0,381
1,5,1,65,3,10,0,350
1,11,1,15,2,6,30,871
1,7,2,35,1,10,0,-422
1,9,2,50,2,2,40,759
1,2,1,25,3,4,15,289
1,10,1,50,3,3,40,639
1,3,2,20,2,5,0,0
1,2,1,60,3,3,45,1312
1,7,2,30,4,3,21,373
3,2,2,55,4,2,40,1376
1,5,2,15,1,10,0,0
4,4,2,65,5,10,0,0
1,2,2,35,3,5,2,39
2,7,2,45,3,6,0,1013
12,8,1,35,4,10,0,90
1,2,2,15,2,10,0,310
12,4,1,20,2,8,30,456
2,5,1,25,3,3,44,791
1,2,1,50,4,10,0,260
12,8,2,35,1,10,0,406
1,3,2,25,3,6,53.5,2154
1,11,2,30,5,5,55,1473
2,2,1,60,1,10,0,310
12,9,2,30,2,10,0,332
4,2,1,65,1,4,20,396
1,11,2,50,5,5,9,335
1,2,1,55,1,1,45,2174
1,11,1,45,3,6,0,1502
2,10,1,30,3,3,32,630
2,2,2,30,2,10,0,332
4,2,1,35,4,2,41.5,1360
1,2,1,45,2,10,0,514
12,3,2,20,1,2,40,520
1,10,2,65,1,10,0,187
1,2,1,50,2,10,0,160
1,9,2,50,2,5,4,66
1,8,2,30,4,10,0,300
1,2,1,30,4,10,0,789
3,8,1,15,2,10,0,440
1,2,2,60,1,10,0,305
4,2,1,15,1,10,0,382
1,10,1,60,1,8,40,773
4,2,2,25,4,2,15,446
1,2,2,40,2,4,40,1122
2,4,1,15,1,2,41.5,429
12,3,1,20,2,10,0,893
1,5,2,45,1,10,0,5
1,12,1,35,3,1,40,1856
1,8,2,20,2,2,55,1073
1,10,2,55,2,4,40,924
4,8,2,25,3,1,37.5,1350
12,9,2,30,5,10,0,281
12,1,1,55,2,8,40,1834
4,2,2,45,4,5,20,414
1,2,2,30,5,5,36,704
1,7,1,45,3,6,0,2110
4,3,1,55,3,1,42,1072
4,10,1,20,2,6,17.5,250
1,2,2,40,4,2,19,673
1,2,1,65,1,10,0,639
15,10,2,15,2,8,40,480
1,10,1,25,2,10,12,330
1,3,1,20,3,3,53,1049
1,5,1,25,1,1,40,1092
1,8,1,25,3,4,40,572
1,2,2,25,2,5,45,555
1,6,1,40,3,1,0,46
1,8,1,65,5,10,0,1087
1,2,2,55,3,1,10,8980
1,8,2,60,3,5,40,1026
1,2,2,60,2,5,50,1283
1,2,1,45,3,3,40,1184
1,10,1,65,3,10,0,535
1,8,2,55,4,1,0,530
1,9,2,65,2,4,40,633
1,8,2,65,3,10,0,145
15,2,1,30,4,10,0,675
24,2,2,30,2,6,20,551
1,10,2,25,3,10,0,131
1,12,2,45,1,5,0,633
4,8,2,40,1,8,50,1295
12,4,1,65,3,10,0,296
1,11,1,40,4,8,0,801
1,9,2,30,3,6,40,968
1,11,2,30,4,2,40,702
1,3,1,50,4,1,0,432
1,8,2,30,3,10,0,0
1,3,1,20,1,8,5,76
4,2,2,30,4,10,0,1211
1,10,1,30,3,3,36,850
1,9,1,15,1,10,0,0
2,2,2,20,2,10,0,0
1,6,1,50,5,8,0,274
1,8,2,65,2,10,0,260
1,4,1,65,3,6,0,359
1,2,2,20,2,8,0,234
12,2,2,45,4,2,60,4046
1,2,2,45,4,5,12,2090
2,2,2,25,2,4,30,766
2,8,2,55,1,3,40,674
1,3,2,40,3,5,20,213
1,10,2,20,3,6,40,810
1,9,2,45,4,10,0,5
1,8,2,15,2,10,0,356
1,2,1,50,2,10,0,632
1,7,2,65,1,10,0,0
2,4,1,45,1,2,0,343
1,4,1,65,3,1,0,3381
1,5,2,25,2,6,30,516
4,2,1,35,3,7,41.5,1271
2,2,2,40,1,10,0,2557
1,11,2,40,3,10,0,260
1,2,1,40,1,1,40,1234
1,3,2,50,2,4,5,375
1,3,1,65,3,10,0,0
23,2,1,15,1,10,0,7
2,5,1,20,2,1,0,518
3,2,1,45,1,8,40,1681
6,11,1,65,2,5,0,2110
1,10,1,60,4,2,0,957
1,8,1,35,3,1,31,577
4,12,2,45,5,10,0,338
1,2,2,65,2,10,0,56
6,2,1,35,4,2,40,1731
1,5,2,65,1,10,0,503
1,3,1,60,3,3,45,932
1,6,1,15,2,10,0,359
4,7,2,30,2,2,13,257
1,2,2,65,1,10,0,444
4,2,2,40,4,3,40,540
1,8,1,55,4,1,0,604
1,1,1,65,3,10,0,309
1,10,1,40,4,6,40,922
1,7,1,65,1,10,0,317
12,2,2,30,3,10,0,512
1,10,1,55,3,3,45,770
1,3,1,40,5,4,55,723
3,2,2,20,2,6,35,630
1,10,1,55,4,1,50,1152
1,12,1,40,3,3,40,1266
2,2,2,20,5,4,27,368
4,2,2,45,4,2,33,298
1,7,2,15,2,10,0,271
1,7,1,50,1,8,45,965
2,2,2,20,2,10,0,283
1,8,1,65,1,10,0,407
1,11,2,15,2,10,0,0
2,1,2,15,2,10,0,601
3,2,2,20,2,6,35,661
13,2,1,20,3,3,46,1363
1,2,1,65,5,1,50,2121
1,8,2,25,4,2,33,1074
2,3,1,20,4,1,52,1258
4,2,2,50,4,10,0,354
1,7,2,65,2,10,0,0
1,8,1,45,3,3,40,880
1,10,2,65,1,10,0,258
1,5,1,30,2,1,60,759
2,8,2,35,3,5,40,968
6,10,2,60,4,1,40,732
1,7,2,65,1,6,0,938
6,11,1,65,3,10,0,52
12,5,1,20,1,10,0,171
1,9,2,15,2,10,0,0
1,11,2,45,1,10,0,0
1,4,2,65,5,3,37.5,1043
1,3,2,15,2,10,0,323
1,2,1,50,4,5,36,799
12,2,1,20,2,10,0,275
1,9,2,40,4,2,0,125
1,4,2,50,3,5,36.5,450
1,2,2,30,3,5,37.5,931
1,1,1,45,1,3,40,1358
1,11,2,65,3,8,43.5,1669
1,4,2,50,3,4,40,833
2,5,1,25,3,4,40,1122
1,11,1,60,3,10,0,242
1,10,2,20,3,3,40,660
13,3,2,20,3,4,25,845
1,2,2,50,4,2,50,1122
2,2,2,65,3,10,0,174
1,8,1,40,3,10,0,304
1,7,1,35,4,4,66,1263
1,2,1,40,3,3,40,1751
4,2,1,25,4,2,45,1066
1,2,1,45,4,1,55,697
1,11,2,55,3,4,0,257
1,7,2,30,4,10,0,389
1,2,1,15,2,10,0,0
1,1,2,65,1,10,0,98
4,4,1,65,1,10,0,220
1,11,2,15,2,10,0,0
1,1,2,45,4,6,32,583
4,8,2,25,4,2,37.5,670
1,8,1,60,3,6,20,315
1,10,1,25,4,1,42.5,1768
12,4,1,65,3,10,0,0
3,2,1,30,5,10,0,308
16,5,1,65,3,2,19,560
3,2,2,40,2,10,0,86
4,8,2,35,1,8,15,2191
1,10,2,30,1,5,0,0
1,7,2,65,3,10,0,1
2,4,2,25,3,10,0,95
1,8,1,65,2,3,0,345
1,8,2,30,4,2,0,844
1,2,1,40,2,7,3,89
1,2,2,60,3,2,15,378
1,12,1,65,1,10,0,286
1,4,1,65,3,10,0,132
9,8,1,35,4,10,0,0
1,2,1,25,2,10,0,266
1,2,2,15,2,10,0,0
1,5,2,65,1,10,0,462
1,2,1,25,4,2,40,690
1,2,2,55,4,6,30,620
1,8,2,45,3,1,40,1899
1,11,1,40,3,10,0,563
2,10,2,45,5,4,20,371
1,7,1,65,1,10,0,225
1,10,1,50,4,2,37,599
1,9,1,35,3,3,0,1303
4,2,1,50,4,2,40,1770
1,11,1,40,3,3,0,1303
1,7,1,40,1,1,40,1080
1,10,2,55,3,1,10,345
4,2,1,45,3,7,0,927
1,4,1,25,3,1,40,695
2,4,1,60,5,3,24,281
